experimentId,userName,targetScanStyle,targetClusterSize,scanIndex,timestampMs,deltaMs,elapsedMs,barcode
c41e91ce-0083-4c34-93cd-67cc490af8cd,fors,non_compliant,,21,1770842822576,251,7318,072879351095
c41e91ce-0083-4c34-93cd-67cc490af8cd,fors,non_compliant,,22,1770842822819,243,7561,072879351095
c41e91ce-0083-4c34-93cd-67cc490af8cd,fors,non_compliant,,23,1770842823091,272,7833,072879351095
c41e91ce-0083-4c34-93cd-67cc490af8cd,fors,non_compliant,,24,1770842823309,218,8051,072879351095
c41e91ce-0083-4c34-93cd-67cc490af8cd,fors,non_compliant,,25,1770842823601,292,8343,072879351095
c41e91ce-0083-4c34-93cd-67cc490af8cd,fors,non_compliant,,26,1770842823875,274,8617,072879351095
c41e91ce-0083-4c34-93cd-67cc490af8cd,fors,non_compliant,,27,1770842824108,233,8850,072879351095
c41e91ce-0083-4c34-93cd-67cc490af8cd,fors,non_compliant,,28,1770842824375,267,9117,072879351095
c41e91ce-0083-4c34-93cd-67cc490af8cd,fors,non_compliant,,29,1770842824625,250,9367,072879351095
c41e91ce-0083-4c34-93cd-67cc490af8cd,fors,non_compliant,,30,1770842824858,233,9600,072879351095
c41e91ce-0083-4c34-93cd-67cc490af8cd,fors,non_compliant,,31,1770842825125,267,9867,072879351095
c41e91ce-0083-4c34-93cd-67cc490af8cd,fors,non_compliant,,32,1770842825358,233,10100,072879351095
c41e91ce-0083-4c34-93cd-67cc490af8cd,fors,non_compliant,,33,1770842825608,250,10350,072879351095
c41e91ce-0083-4c34-93cd-67cc490af8cd,fors,non_compliant,,34,1770842825841,233,10583,072879351095
